,Questions,Intent,Sub-Entities,Main_Entities
0,What does lock mean?,information_seek,['connectivity lock'],['connection']
1,What does network connectivity mean?,information_seek,['network connectivity'],['connection']
2,What is network connectivity enabled?,information_seek,['network connectivity'],['connection']
3,What is network connectivity disabled?,information_seek,['network connectivity'],['connection']
4,What does in-session mean?,information_seek,['in-session'],['option']
5,What is billing state xx?,information_seek,['billing state'],['option']
6,What is the difference between network connectivity and billing states?,information_Comparison,"['network connectivity', 'billing state']","['connection', 'option']"
7,How can I customize my view?,Learn,['view'],['attribute']
8,Can I customize my view?,Learn,['view'],['attribute']
9,Can I hide the custom counters?,Learn,['counters'],['widget.']
10,How can I select which columns to display?,Learn,"['column', 'view']","['attribute', 'attribute']"
11,Can I somehow see more rows in one view?,Learn,"['row', 'view']","['attribute', 'attribute']"
12,How can I see which subscriptions have had traffic today?,Learn,"['subscription', 'monthlydata']","['inventory', 'stat']"
13,How can I see if a subscription is misbehaving?,Learn,['subscription'],['inventory']
14,What are custom fields?,information_seek,['custom fields'],['widget']
15,How can I define custom fields?,Learn,['custom fields'],['widget']
16,How can I use custom fields?,Learn,['custom fields'],['widget']
17,What are summary counters?,information_seek,['summary counter'],['widget']
18,How can I define summary counters?,Learn,['summary counter'],['widget']
19,How can I use summary counters?,Learn,['summary counter'],['widget']
20,Can I save my settings?,Learn,['settings'],['option']
21,Can I save my view?,Learn,['view'],['attribute']
22,What can I do in this page?,information_seek,['view'],['attribute']
23,What are the different types of SIMs?,information_seek,['sim'],['inventory']
24,Tell me about filters,information_seek,['filter'],['widget']
25,Tell me about counters,information_seek,['counters'],['widget.']
26,Tell me about table,information_seek,['view'],['attribute']
27,Tell me about each action,information_seek,['action'],['widget']
28,What is IMSI,information_seek,['imsi'],['identifier']
29,What is MSISDN,information_seek,['msisdn'],['identifier']
30,What is IMEI,information_seek,['imei'],['identifier']
31,What is ICCID,information_seek,['iccid'],['identifier']
32,Why portal slow,Troubleshoot,['portal'],['page']
33,Order sim,Learn,['sim'],['inventory']
34,state change where??,Learn,['state'],['option']
35,logout,Learn,['portal'],['page']
36,what is announcements,information_seek,['announcement'],['page']
37,euicc order,Learn,['euicc'],['inventory']
38,why error messages,Troubleshoot,['portal'],['page']
39,how to select more than 10000 imsi,Learn,['imsi'],['identifier']
40,How can I apply a filter?,Learn,['filter'],['widget']
41,How can I add/create a filter?,Learn,['filter'],['widget']
42,How can I add/apply/create filters?,Learn,['filter'],['widget']
43,How to add/apply/create a filter?,Learn,['filter'],['widget']
44,How to add/apply/create filters?,Learn,['filter'],['widget']
45,I want to add/apply/create a filter,Learn,['filter'],['widget']
46,I want to add/apply/create filters,Learn,['filter'],['widget']
47,What is connectivity lock?,information_seek,['connectivity lock'],['connection']
48,What is this lock/padlock?,information_seek,['connectivity lock'],['connection']
49,There is a lock/padlock in Connectivity lock column,information_seek,['connectivity lock'],['connection']
50,"I see a lock, why?",information_seek,['connectivity lock'],['connection']
51,How much would it cost to order SIM?,information_seek,"['sim', 'cost']","['inventory', 'None']"
52,"What is the difference between the rows, which one should I choose?",information_Comparison,"['row', 'view']","['attribute', 'attribute']"
53,Why should I select more than 1 row?,information_seek,"['row', 'view']","['attribute', 'attribute']"
54,Can I select disabled rows as well?,Learn,"['row', 'view']","['attribute', 'attribute']"
55,List billing states please,fetch,['billing state'],['option']
56,How can I change the Plan name?,Learn,['plan'],['option']
57,Will the portal remember my selection if I apply a filter?,information_seek,"['portal', 'filter']","['page', 'widget']"
58,Why NW connectivity enabled is disabled and vice versa?,Troubleshoot,['network connectivity'],['connection']
59,Why NW connectivity enabled is enabled,Troubleshoot,['network connectivity'],['connection']
60,What does lock mean?,information_seek,['connectivity lock'],['connection']
61,What does locking mean?,information_seek,['connectivity lock'],['connection']
62,"What does ""lock"" mean?",information_seek,['connectivity lock'],['connection']
63,What is a lock?,information_seek,['connectivity lock'],['connection']
64,What does network connectivity mean?,information_seek,['network connectivity'],['connection']
65,What is network connectivity?,information_seek,['network connectivity'],['connection']
66,What does connectivity mean?,information_seek,['network connectivity'],['connection']
67,What do you mean by network connectivity?,information_seek,['network connectivity'],['connection']
68,What's network connectivity?,information_seek,['network connectivity'],['connection']
69,What is the meaning of network connectivity?,information_seek,['network connectivity'],['connection']
70,What is network connectivity enabled?,information_seek,['network connectivity'],['connection']
71,How is network connectivity enabled?,information_seek,['network connectivity'],['connection']
72,What is network connectivity enabled for?,information_seek,['network connectivity'],['connection']
73,Is network connectivity enabled?,information_seek,['network connectivity'],['connection']
74,Why is network connectivity enabled?,information_seek,['network connectivity'],['connection']
75,What are the benefits of network connectivity?,information_seek,['network connectivity'],['connection']
76,What is network connectivity disabled?,information_seek,['network connectivity'],['connection']
77,Why is network connectivity disabled?,information_seek,['network connectivity'],['connection']
78,How is network connectivity disabled?,information_seek,['network connectivity'],['connection']
79,Is network connectivity disabled?,information_seek,['network connectivity'],['connection']
80,How can I disable network connectivity?,Learn,['network connectivity'],['connection']
81,How can network connectivity be disabled?,Learn,['network connectivity'],['connection']
82,What's network connectivity disabled?,information_seek,['network connectivity'],['connection']
83,How do I disable network connectivity?,Learn,['network connectivity'],['connection']
84,What is a network connectivity disabled?,information_seek,['network connectivity'],['connection']
85,What does in-session mean?,information_seek,['in-session'],['option']
86,What does in session mean?,information_seek,['in-session'],['option']
87,What is in session?,information_seek,['in-session'],['option']
88,What does an in-session mean?,information_seek,['in-session'],['option']
89,"What does ""in session"" mean?",information_seek,['in-session'],['option']
90,What does insession mean?,information_seek,['in-session'],['option']
91,What is in session mean?,information_seek,['in-session'],['option']
92,What is the difference between billing states and network states?,information_Comparison,"['network connectivity', 'billing state']","['connection', 'option']"
93,What is the difference between network and billing states?,information_Comparison,"['network connectivity', 'billing state']","['connection', 'option']"
94,What is the difference between billing and network states?,information_Comparison,"['network connectivity', 'billing state']","['connection', 'option']"
95,What's the difference between billing states and network states?,information_Comparison,"['network connectivity', 'billing state']","['connection', 'option']"
96,What is the difference between billing and network?,information_Comparison,"['network connectivity', 'billing state']","['connection', 'option']"
97,What's the difference between network and billing states?,information_Comparison,"['network connectivity', 'billing state']","['connection', 'option']"
98,How do I customize my view?,Learn,['view'],['attribute']
99,How can I customize a view?,Learn,['view'],['attribute']
100,How can I personalize my view?,Learn,['view'],['attribute']
101,Can I customize my view?,Learn,['view'],['attribute']
102,How do I customize a view?,Learn,['view'],['attribute']
103,How can I personalize my view?,Learn,['view'],['attribute']
104,How do I customize my views?,Learn,['view'],['attribute']
105,How do I personalize my view?,Learn,['view'],['attribute']
106,How do I hide custom counters?,Learn,['counters'],['widget.']
107,How do I hide my custom counters?,Learn,['counters'],['widget.']
108,Can I hide the custom counters?,Learn,['counters'],['widget.']
109,How do I hide the custom counters?,Learn,['counters'],['widget.']
110,How can I hide the custom counters?,Learn,['counters'],['widget.']
111,How do I select which columns to display?,Learn,"['column', 'view']","['attribute', 'attribute']"
112,How can I select which columns to display?,Learn,"['column', 'view']","['attribute', 'attribute']"
113,How do I choose which columns to display?,Learn,"['column', 'view']","['attribute', 'attribute']"
114,How do I select the columns I want to display?,Learn,"['column', 'view']","['attribute', 'attribute']"
115,How can I select the columns to display?,Learn,"['column', 'view']","['attribute', 'attribute']"
116,Can I see more rows in one view?,Learn,"['row', 'view']","['attribute', 'attribute']"
117,Can I see more rows in a single view?,Learn,"['row', 'view']","['attribute', 'attribute']"
118,Can I see more rows in a view?,Learn,"['row', 'view']","['attribute', 'attribute']"
119,How do I see more rows in one view?,Learn,"['row', 'view']","['attribute', 'attribute']"
120,Can I see multiple rows in one view?,Learn,"['row', 'view']","['attribute', 'attribute']"
121,Can I see rows in one view?,Learn,"['row', 'view']","['attribute', 'attribute']"
122,How can I see which subscriptions have had traffic today?,Learn,"['subscription', 'monthlydata']","['inventory', 'stat']"
123,How can I see how many subscriptions have had traffic today?,Learn,"['subscription', 'monthlydata']","['inventory', 'stat']"
124,How do I know which subscriptions have had traffic today?,Learn,"['subscription', 'monthlydata']","['inventory', 'stat']"
125,How can I know which subscriptions have had traffic today?,Learn,"['subscription', 'monthlydata']","['inventory', 'stat']"
126,How can I see what subscriptions have had traffic today?,Learn,"['subscription', 'monthlydata']","['inventory', 'stat']"
127,How can I see which subscription has had traffic today?,Learn,"['subscription', 'monthlydata']","['inventory', 'stat']"
128,How can I see if a subscription is misbehaving?,Learn,['subscription'],['inventory']
129,How can I see if my subscription is misbehaving?,Learn,['subscription'],['inventory']
130,How do I know if my subscription is misbehaving?,Learn,['subscription'],['inventory']
131,How do I check if a subscription is misbehaving?,Learn,['subscription'],['inventory']
132,How can I check if a subscription is misbehaving?,Learn,['subscription'],['inventory']
133,What are custom fields?,information_seek,['custom fields'],['widget']
134,What is a custom field?,information_seek,['custom fields'],['widget']
135,What are custom fields and why?,information_seek,['custom fields'],['widget']
136,What's a custom field?,information_seek,['custom fields'],['widget']
137,How do I define custom fields?,Learn,['custom fields'],['widget']
138,How can I define custom fields?,Learn,['custom fields'],['widget']
139,How do I create custom fields?,Learn,['custom fields'],['widget']
140,How do I define custom field?,Learn,['custom fields'],['widget']
141,What are some ways to define custom fields?,Learn,['custom fields'],['widget']
142,How do we define custom fields?,Learn,['custom fields'],['widget']
143,How can I create custom fields?,Learn,['custom fields'],['widget']
144,How do I create custom fields?,Learn,['custom fields'],['widget']
145,What is the best way to use custom fields?,Learn,['custom fields'],['widget']
146,Can I use custom fields?,Learn,['custom fields'],['widget']
147,How do I add custom fields?,Learn,['custom fields'],['widget']
148,How can I add custom fields?,Learn,['custom fields'],['widget']
149,What are summary counters?,information_seek,['summary counter'],['widget']
150,What is summary counter?,information_seek,['summary counter'],['widget']
151,What do summary counters stand for?,information_seek,['summary counter'],['widget']
152,What's a summary counter?,information_seek,['summary counter'],['widget']
153,How do I define summary counters?,Learn,['summary counter'],['widget']
154,How can I define summary counters?,Learn,['summary counter'],['widget']
155,How do you define summary counters?,Learn,['summary counter'],['widget']
156,How do I define summary counter?,Learn,['summary counter'],['widget']
157,How do I define a summary counter?,Learn,['summary counter'],['widget']
158,How do I create summary counters?,Learn,['summary counter'],['widget']
159,How do I use summary counters?,Learn,['summary counter'],['widget']
160,How do you use summary counters?,Learn,['summary counter'],['widget']
161,How can I use summary counter?,Learn,['summary counter'],['widget']
162,What are summary counters?,Learn,['summary counter'],['widget']
163,How can you use summary counters?,Learn,['summary counter'],['widget']
164,How do I save my settings?,Learn,['settings'],['option']
165,Can I save my settings?,Learn,['settings'],['option']
166,How can I save my settings?,Learn,['settings'],['option']
167,What is the best way to save settings?,Learn,['settings'],['option']
168,How do you save your settings?,Learn,['settings'],['option']
169,How do I save settings on my computer?,Learn,['settings'],['option']
170,How can I save my view?,Learn,['view'],['attribute']
171,Can I save a view?,Learn,['view'],['attribute']
172,How can I save a view?,Learn,['view'],['attribute']
173,How can I save my views?,Learn,['view'],['attribute']
174,What is the best way to save a view?,Learn,['view'],['attribute']
175,What can I do in this page?,information_seek,['view'],['attribute']
176,What should I do on this page?,information_seek,['view'],['attribute']
177,What do I do on this page?,information_seek,['view'],['attribute']
178,What can I do with this page?,information_seek,['view'],['attribute']
179,What can I do from this page?,information_seek,['view'],['attribute']
180,What is the best thing to do on this page?,information_seek,['view'],['attribute']
181,What are the different types of SIMs?,information_seek,['sim'],['inventory']
182,What are different types of SIMs?,information_seek,['sim'],['inventory']
183,What are the different types of SIM cards?,information_seek,['sim'],['inventory']
184,What are SIMs?,information_seek,['sim'],['inventory']
185,What are the different kinds of SIMs?,information_seek,['sim'],['inventory']
186,What is a SIM?,information_seek,['sim'],['inventory']
187,What are filters?,information_seek,['filter'],['widget']
188,What filters do you use?,information_seek,['filter'],['widget']
189,What do you think about filters?,information_seek,['filter'],['widget']
190,What is filtering?,information_seek,['filter'],['widget']
191,Can you tell me about filters?,information_seek,['filter'],['widget']
192,Tell me about filters.,information_seek,['filter'],['widget']
193,What is filter?,information_seek,['filter'],['widget']
194,What do you think of filters?,information_seek,['filter'],['widget']
195,What are counters?,information_seek,['counters'],['widget.']
196,What do you think about counters?,information_seek,['counters'],['widget.']
197,What is a counter?,information_seek,['counters'],['widget.']
198,How do counters work?,information_seek,['counters'],['widget.']
199,What do you think of counters?,information_seek,['counters'],['widget.']
200,What should I know about counters?,information_seek,['counters'],['widget.']
201,Can you tell me about counters?,information_seek,['counters'],['widget.']
202,What do you mean by counters?,information_seek,['counters'],['widget.']
203,What is table?,information_seek,['view'],['attribute']
204,Tell me about table?,information_seek,['view'],['attribute']
205,What do you mean by table?,information_seek,['view'],['attribute']
206,What do you think about table?,information_seek,['view'],['attribute']
207,What are tables?,information_seek,['view'],['attribute']
208,Tell me about each action.,information_seek,['action'],['widget']
209,Tell me about every action.,information_seek,['action'],['widget']
210,Tell me about each action and why?,information_seek,['action'],['widget']
211,What is IMSI?,information_seek,['imsi'],['identifier']
212,What does IMSI stand for?,information_seek,['imsi'],['identifier']
213,What is the acronym IMSI?,information_seek,['imsi'],['identifier']
214,What is an IMSI?,information_seek,['imsi'],['identifier']
215,What IMSI stands for?,information_seek,['imsi'],['identifier']
216,What is MSISDN?,information_seek,['msisdn'],['identifier']
217,What does MSISDN stand for?,information_seek,['msisdn'],['identifier']
218,What's MSISDN?,information_seek,['msisdn'],['identifier']
219,What is MSISDN? What does it mean?,information_seek,['msisdn'],['identifier']
220,What is the purpose of MSISDN?,information_seek,['msisdn'],['identifier']
221,What is IMEI?,information_seek,['imei'],['identifier']
222,What is an IMEI?,information_seek,['imei'],['identifier']
223,What does IMEI stand for?,information_seek,['imei'],['identifier']
224,What is IMEI? What does it mean?,information_seek,['imei'],['identifier']
225,What does the IMEI stand for?,information_seek,['imei'],['identifier']
226,What is IMEI and why?,information_seek,['imei'],['identifier']
227,What is the ICCID?,information_seek,['iccid'],['identifier']
228,What is an ICCID?,information_seek,['iccid'],['identifier']
229,What is the acronym ICCID?,information_seek,['iccid'],['identifier']
230,What does the ICCID stand for?,information_seek,['iccid'],['identifier']
231,What is the acronym for ICCID?,information_seek,['iccid'],['identifier']
232,Why is portal slow?,Troubleshoot,['portal'],['page']
233,Why is the portal so slow?,Troubleshoot,['portal'],['page']
234,Why does portal slow?,Troubleshoot,['portal'],['page']
235,Why is my portal slow?,Troubleshoot,['portal'],['page']
236,Order sim?,Learn,['sim'],['inventory']
237,What is sim?,information_seek,['sim'],['inventory']
238,Order sim!,Learn,['sim'],['inventory']
239,How do you order sim?,Learn,['sim'],['inventory']
240,How do I order sim?,Learn,['sim'],['inventory']
241,What is a state change?,information_seek,['state'],['option']
242,Where is a state change happening?,Learn,['state'],['option']
243,What is state change?,Learn,['state'],['option']
244,Where is state change?,Learn,['state'],['option']
245,How do I logout?,Learn,['portal'],['page']
246,How do I log out?,Learn,['portal'],['page']
247,What is the best way to logout?,Learn,['portal'],['page']
248,What should I do to logout?,Learn,['portal'],['page']
249,Logout!,Learn,['portal'],['page']
250,How do I log out of my account?,Learn,['portal'],['page']
251,How can I logout?,Learn,['portal'],['page']
252,What are announcements?,information_seek,['announcement'],['page']
253,What does announcements mean?,information_seek,['announcement'],['page']
254,What is announcements about?,information_seek,['announcement'],['page']
255,What is the meaning of announcements?,information_seek,['announcement'],['page']
256,What is the euicc order?,information_seek,['euicc'],['inventory']
257,Euicc order?,information_seek,['euicc'],['inventory']
258,Euicc order.,information_seek,['euicc'],['inventory']
259,euicc order?,information_seek,['euicc'],['inventory']
260,What are error messages?,Troubleshoot,['portal'],['page']
261,Why are error messages displayed?,Troubleshoot,['portal'],['page']
262,Why are there error messages?,Troubleshoot,['portal'],['page']
263,What is the reason for error messages?,Troubleshoot,['portal'],['page']
264,Why do error messages appear?,Troubleshoot,['portal'],['page']
265,What is the reason behind error messages?,Troubleshoot,['portal'],['page']
